Date,Open,High,Low,Close
2024-09-28,65749.5,66237.0,65368.1,65822.6
2024-09-29,65822.7,66059.3,65400.0,65568.1
2024-09-30,65568.2,65588.8,62825.0,63309.1
2024-10-01,63309.0,64092.6,60128.2,60776.8
2024-10-02,60776.7,62355.0,59934.9,60622.6
2024-10-03,60622.7,61452.6,59815.0,60727.2
2024-10-04,60727.1,62457.1,60434.1,62054.4
2024-10-05,62054.3,62344.0,61648.0,62023.1
2024-10-06,62023.1,62961.5,61778.9,62789.3
2024-10-07,62789.2,64448.2,62091.8,62190.7
2024-10-08,62190.6,63178.7,61836.0,62131.7
2024-10-09,62131.8,62520.9,60251.9,60606.4
2024-10-10,60606.3,61297.0,58900.0,60293.2
2024-10-11,60293.3,63400.0,60057.8,62509.0
2024-10-12,62509.0,63462.6,62458.0,63176.0
2024-10-13,63176.0,63260.0,62020.0,62839.8
2024-10-14,62839.7,66533.0,62420.0,66064.9
2024-10-15,66064.9,67953.7,64771.7,67044.1
2024-10-16,67044.0,68400.0,66724.2,67592.0
2024-10-17,67592.0,67925.9,66600.0,67401.5
2024-10-18,67401.5,69000.0,67165.0,68407.8
2024-10-19,68407.8,68684.9,68000.0,68357.1
2024-10-20,68357.1,69425.8,68069.8,69020.1
2024-10-21,69020.2,69566.0,66865.9,67368.8
2024-10-22,67368.7,67825.0,66536.5,67406.4
2024-10-23,67406.5,67449.0,65222.3,66647.2
2024-10-24,66647.3,68842.5,66482.0,68173.8
2024-10-25,68173.8,68748.0,65557.2,66662.8
2024-10-26,66662.7,67450.0,66414.1,67071.8
2024-10-27,67071.9,68306.1,66909.4,67992.6
2024-10-28,67992.7,70331.0,67584.2,69940.0
2024-10-29,69939.9,73660.0,69733.0,72739.5
2024-10-30,72739.5,72984.9,71444.2,72349.0
2024-10-31,72349.0,72720.3,69705.0,70321.9
2024-11-01,70321.9,71650.0,68822.5,69495.5
2024-11-02,69495.4,69913.1,69022.8,69366.6
2024-11-03,69366.6,69393.7,67446.6,68762.5
2024-11-04,68762.5,69495.3,66810.0,67834.3
2024-11-05,67834.4,70537.4,67454.2,69353.1
2024-11-06,69353.1,76420.0,69272.7,75579.9
2024-11-07,75579.9,76900.0,74450.0,75859.4
2024-11-08,75859.4,77182.9,75576.3,76482.2
2024-11-09,76482.2,76920.0,75683.2,76675.1
2024-11-10,76675.1,81699.8,76501.1,80410.0
2024-11-11,80409.9,89800.0,80261.2,88728.9
2024-11-12,88729.0,90070.1,85159.9,87972.0
2024-11-13,87972.0,93421.1,86180.0,90413.3
2024-11-14,90413.3,91846.1,86714.0,87382.7
2024-11-15,87382.6,91921.5,87111.0,91074.6
2024-11-16,91074.6,91849.8,90120.0,90643.3
2024-11-17,90643.2,91539.6,88736.1,89899.9
2024-11-18,89900.0,92700.0,89422.1,90507.4
2024-11-19,90507.4,93985.9,90405.6,92335.9
2024-11-20,92335.9,94849.0,91500.0,94288.0
2024-11-21,94288.0,99100.0,94008.7,98366.8
2024-11-22,98366.8,99660.0,97199.9,98921.4
2024-11-23,98921.5,98937.3,97173.5,97725.5
2024-11-24,97725.6,98666.0,95822.1,97960.4
2024-11-25,97960.5,98999.0,92666.0,93064.0
